# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   65       2.314259203634e-10       3.510425056892e-14      -4.788284077300e-13       0.000000000000e+00       3.131656039079e-11       3.774238433451e-12      -8.520427513975e-15 
   66       2.344442829284e-10       3.668681983997e-14      -5.295987665039e-13       0.000000000000e+00       3.022450393892e-11       3.658643373996e-12      -8.725720514012e-15 
   67       2.374926613114e-10       3.830207248457e-14      -5.820674353415e-13       0.000000000000e+00       2.918115028846e-11       3.547595439055e-12      -8.881318282695e-15 
   68       2.405708361280e-10       3.994893231533e-14      -6.362199022464e-13       0.000000000000e+00       2.818020881742e-11       3.440402731092e-12      -8.997655341005e-15 
   69       2.436799743384e-10       4.162672471920e-14      -6.920395810365e-13       0.000000000000e+00       2.722094455244e-11       3.337048279091e-12      -9.082310773375e-15 
   70       2.468212664456e-10       4.333486321307e-14      -7.495079474030e-13       0.000000000000e+00       2.630357616442e-11       3.237647752180e-12      -9.142885919611e-15 
   71       2.499954128577e-10       4.507273622748e-14      -8.086045876958e-13       0.000000000000e+00       2.542758498138e-11       3.142250753556e-12      -9.188072553177e-15 
   72       2.532025924010e-10       4.683970757929e-14      -8.693071981558e-13       0.000000000000e+00       2.459167686697e-11       3.050837198110e-12      -9.227693623763e-15 
   73       2.564424308335e-10       4.863511694429e-14      -9.315915841458e-13       0.000000000000e+00       2.379374409902e-11       2.963313690073e-12      -9.272743999859e-15 
   74       2.597139693586e-10       5.045828032979e-14      -9.954316593829e-13       0.000000000000e+00       2.303082724804e-11       2.879509900647e-12      -9.335431211320e-15 
   75       2.630156331382e-10       5.230849054731e-14      -1.060799445169e-12       0.000000000000e+00       2.229907705574e-11       2.799174945644e-12      -9.429216191942e-15 
