# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   66       2.346629541576e-10       3.686064158549e-14      -5.300881210932e-13       1.852151684365e-16       3.022450393892e-11       3.658643373996e-12      -8.725720514012e-15 
   67       2.377160937121e-10       3.848054326135e-14      -5.825504087485e-13       1.908814560402e-16       2.918115028846e-11       3.547595439055e-12      -8.881318282695e-15 
   68       2.407990142451e-10       4.013207032550e-14      -6.366940567701e-13       1.966325908777e-16       2.818020881742e-11       3.440402731092e-12      -8.997655341005e-15 
   69       2.439128780776e-10       4.181454657001e-14      -6.925023418305e-13       2.024688600224e-16       2.722094455244e-11       3.337048279091e-12      -9.082310773375e-15 
   70       2.470588709425e-10       4.352738412628e-14      -7.499565966489e-13       2.083905794255e-16       2.630357616442e-11       3.237647752180e-12      -9.142885919611e-15 
   71       2.502376882509e-10       4.526997014819e-14      -8.090362622440e-13       2.143981066966e-16       2.542758498138e-11       3.142250753556e-12      -9.188072553177e-15 
   72       2.534495035977e-10       4.704166729063e-14      -8.697188872064e-13       2.204918427280e-16       2.459167686697e-11       3.050837198110e-12      -9.227693623763e-15 
   73       2.566939372681e-10       4.884181418789e-14      -9.319801269716e-13       2.266722333171e-16       2.379374409902e-11       2.963313690073e-12      -9.272743999859e-15 
   74       2.599700247432e-10       5.066972593215e-14      -9.957937430929e-13       2.329397707899e-16       2.303082724804e-11       2.879509900647e-12      -9.335431211320e-15 
   75       2.632761852056e-10       5.252469455196e-14      -1.061131602514e-12       2.392949956245e-16       2.229907705574e-11       2.799174945644e-12      -9.429216191942e-15 
   76       2.666108650725e-10       5.440582970360e-14      -1.127960778920e-12       2.457383991817e-16       2.159471003308e-11       2.722043942258e-12      -9.564914327006e-15 
   77       2.699746736898e-10       5.631154614903e-14      -1.196234248153e-12       2.522701078338e-16       2.091716070142e-11       2.648059698662e-12      -9.738087701293e-15 
   78       2.733685816830e-10       5.823998325214e-14      -1.265898486860e-12       2.588901439164e-16       2.026643758934e-11       2.577185057297e-12      -9.939417106160e-15 
   79       2.767932631141e-10       6.018915372167e-14      -1.336896160705e-12       2.655985191130e-16       1.964216305091e-11       2.509334154136e-12      -1.015839837745e-14 
   80       2.802490778301e-10       6.215694081313e-14      -1.409166064224e-12       2.723952340502e-16       1.904355552118e-11       2.444370235401e-12      -1.038330235144e-14 
   81       2.837360538101e-10       6.414109553069e-14      -1.482643060672e-12       2.792802778928e-16       1.846941177178e-11       2.382103474279e-12      -1.060113482075e-14 
   82       2.872538695140e-10       6.613923382907e-14      -1.557258021868e-12       2.862536279396e-16       1.791808916643e-11       2.322288787641e-12      -1.079759649031e-14 
   83       2.908018362297e-10       6.814883381545e-14      -1.632937768049e-12       2.933152492184e-16       1.738748791649e-11       2.264623652757e-12      -1.095704293326e-14 
   84       2.943792656943e-10       7.016748491627e-14      -1.709613415521e-12       3.004651094205e-16       1.687556144657e-11       2.208819423845e-12      -1.106573114540e-14 
   85       2.979866816454e-10       7.219368896727e-14      -1.787247141426e-12       3.077032274348e-16       1.638198357246e-11       2.154833648271e-12      -1.112226531533e-14 
   86       3.016247776886e-10       7.422618741447e-14      -1.865809766351e-12       3.150296321550e-16       1.590672645746e-11       2.102672439575e-12      -1.112881737439e-14 
   87       3.052940388708e-10       7.626372257251e-14      -1.945272820986e-12       3.224443477115e-16       1.544954833794e-11       2.052319467881e-12      -1.108800933390e-14 
   88       3.089947305029e-10       7.830503906119e-14      -2.025608627280e-12       3.299473933245e-16       1.500998465477e-11       2.003735011897e-12      -1.100292847802e-14 
   89       3.127268869829e-10       8.034888524211e-14      -2.106790379597e-12       3.375387831573e-16       1.458733918462e-11       1.956855010928e-12      -1.087714255663e-14 
   90       3.164903006191e-10       8.239401465529e-14      -2.188792225869e-12       3.452185261693e-16       1.418067517129e-11       1.911590116881e-12      -1.071471497824e-14 
   91       3.202845104534e-10       8.443918745571e-14      -2.271589348758e-12       3.529866259692e-16       1.378880645710e-11       1.867824746277e-12      -1.052022000285e-14 
   92       3.241087910839e-10       8.648317184997e-14      -2.355158046808e-12       3.608430806684e-16       1.341028861422e-11       1.825416132254e-12      -1.029875793483e-14 
   93       3.279624101009e-10       8.852463558657e-14      -2.439467739235e-12       3.687879998445e-16       1.304376167646e-11       1.784230169684e-12      -1.005548225133e-14 
   94       3.318454689605e-10       9.056179863814e-14      -2.524455428500e-12       3.768219758757e-16       1.268905656240e-11       1.744257176506e-12      -9.794066633502e-15 
   95       3.357581685021e-10       9.259273069566e-14      -2.610047529082e-12       3.849457684434e-16       1.234623943543e-11       1.705511871174e-12      -9.518034394007e-15 
   96       3.397005442143e-10       9.461545638876e-14      -2.696167572312e-12       3.931601938393e-16       1.201527094229e-11       1.667997693858e-12      -9.231234377722e-15 
